,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1929-05,-0.051,-0.11,-0.0021,-0.08070000000000001,0.0031,-0.10369999999999999,-0.0654,-0.0784,-0.0702,-0.1384,-0.0689,-0.1241,-0.0966,0.0083,-0.1516,-0.077,-0.1099,-0.049800000000000004,-0.055999999999999994,0.048,-0.0877,-0.0492,-0.013500000000000002,-0.0817,0.0252,-0.0654,-0.0885,-0.028999999999999998,-0.032,-0.1321
1929-06,0.0809,0.1251,-0.0013,0.0591,0.10640000000000001,0.1471,0.056299999999999996,0.0452,0.1998,0.025,0.0765,0.10710000000000001,0.1525,0.1923,0.06860000000000001,0.1074,0.0242,0.0218,0.0109,0.2347,0.13699999999999998,0.19010000000000002,0.0999,0.1259,0.059699999999999996,-0.0297,0.09210000000000002,0.1911,0.0634,0.0508
1929-07,0.0489,0.0161,0.020499999999999997,-0.0219,0.009399999999999999,0.0655,-0.039900000000000005,0.0259,0.0512,-0.0368,0.039599999999999996,0.0347,0.052199999999999996,0.10099999999999999,-0.0392,0.050199999999999995,-0.0236,0.19820000000000002,-0.0086,0.09140000000000001,0.1368,-0.0073,0.0572,0.0681,0.0832,-0.0301,0.0097,0.0183,0.0843,0.0449
1929-08,0.0417,0.09789999999999999,0.08289999999999999,0.0621,0.015,0.0352,0.0097,0.030899999999999997,0.1182,0.0026,0.0292,0.1182,0.10619999999999999,0.1338,0.0203,0.0199,0.0892,0.0526,0.1174,0.09050000000000001,0.10980000000000001,-0.0371,0.0898,0.09449999999999999,0.0837,-0.0579,0.0816,0.0471,0.0613,-0.029900000000000003
1929-09,-0.0229,-0.0226,-0.0762,-0.016399999999999998,-0.0171,0.0679,-0.041100000000000005,-0.0702,-0.0679,-0.0325,-0.0302,-0.08960000000000001,-0.0576,-0.11470000000000001,-0.0898,-0.09119999999999999,-0.0479,-0.020499999999999997,-0.0301,0.0132,-0.0137,0.387,0.098,-0.045899999999999996,-0.0775,-0.0066,-0.0553,-0.0321,-0.0593,-0.0018
1929-10,-0.1457,-0.2626,0.0232,-0.1734,-0.1222,-0.3246,-0.0933,-0.1802,-0.24670000000000003,-0.2132,-0.1698,-0.155,-0.2242,-0.302,-0.2811,-0.2163,-0.13019999999999998,-0.0664,-0.1027,-0.3004,-0.1539,-0.1359,-0.1893,-0.1484,-0.0799,-0.23199999999999998,-0.2415,-0.1959,-0.294,-0.32630000000000003
1929-11,-0.09539999999999998,-0.1185,-0.062,-0.1801,-0.0336,-0.14730000000000001,-0.1024,-0.079,-0.1604,-0.15810000000000002,-0.10640000000000001,-0.1383,-0.13970000000000002,-0.18350000000000002,-0.17629999999999998,-0.10339999999999999,-0.15,-0.04769999999999999,-0.0652,-0.1464,-0.0947,-0.0998,-0.21960000000000002,-0.1421,-0.0785,-0.0667,-0.1274,-0.10279999999999999,-0.1402,-0.153
1929-12,-0.0002,0.0203,0.027200000000000002,-0.0919,0.0021,0.0113,0.037000000000000005,0.0111,0.0635,-0.0626,-0.0129,-0.0045000000000000005,0.0326,0.128,0.0397,0.0316,-0.017,-0.0555,-0.0091,0.0794,0.0101,-0.0183,0.042,-0.003,-0.0007000000000000001,-0.008100000000000001,-0.0643,0.036699999999999997,0.0016,-0.0866
1930-01,0.050499999999999996,-0.0861,0.08560000000000001,0.2514,0.021,0.1032,0.0368,0.0255,0.0817,0.105,0.0719,0.056900000000000006,0.0843,0.10949999999999999,0.0638,0.024,0.060899999999999996,0.0033,-0.008199999999999999,0.0725,0.012,-0.4885,0.0943,0.0757,0.0388,0.0311,0.0446,0.1173,0.0968,0.3178
1930-02,-0.0003,0.0115,0.0552,0.17559999999999998,0.0692,-0.0889,-0.0032,0.0315,0.0246,0.057,0.006,0.0009,0.0473,0.0783,0.0361,0.06280000000000001,-0.009399999999999999,0.0452,-0.0504,0.0857,0.0706,0.589,0.0745,0.0834,0.0213,-0.0462,-0.0535,0.0015,0.0613,-0.0197
